"Section","Question/Label","Datatype","Pre-populated","Conditional Logic","Hover Prompt"
"About Me","My name is","Free Text","Yes","",""
"About Me","I like to be called","Free Text","Yes","",""
"About Me","My gender is","Free Text","Yes","",""
"About Me","I was born on","Date","Yes","",""
"About Me","My ethnicity is","Free Text","Yes","",""
"About Me","Relevant CYRAS ID","Free Text","Yes","",""
"About Me","My current legal status is","Free Text","Yes","",""
"About Me","The date my current legal status commenced","Date","Yes","",""
"About Me","My current legal status expires on","Date","Yes","",""
"About Me","Upcoming court dates","Date","No","",""
"About Me","My parent/s, guardian/s or usual caregiver/s are","Table (Name / Relationship / Contact Details)","No","",""
"About Me","How I communicate and how to communicate with me","Textarea","No","","Consider how the young person perceives and responds to communication from others. Think about their preferred language or communication style, whether they communicate differently when distressed, and any strategies, tools, or adaptations that support understanding."
"About Me","Things I like to do / am interested in","Textarea","No","",""
"About Me","People who are important to me and who I turn to for help","Table (Name / Relationship / Contact Details / Type of Support / Contact Arrangement)","No","",""
"About Me","If I need additional support with my language","Textarea","No","",""
"About Me","Wishes and aspirations","Textarea","No","",""
"About Me","No needs identified (Day-to-day Needs)","Checkbox","No","",""
"About Me","My Day-to-day Needs & Safety Goals","Action Table","No","Show if 'No needs identified' unchecked","Consider what a safe environment looks like for te tamaiti or rangatahi, recognising that oranga (wellbeing) is different for every whānau or family. Record the agreed goals that reflect this understanding. Consider whether te tamaiti or rangatahi is warm, dry, sleeping and eating well, and whether their specific dietary or health needs are being met. Record any identified needs to ensure these aspects of wellbeing are supported."
"About Me","No needs identified (Behavioural Support)","Checkbox","No","",""
"About Me","Behavioural Support","Action Table","No","Show if 'No needs identified' unchecked","Consider the behaviour of te tamaiti or rangatahi, and explore patterns or triggers that may contribute to their behaviour. Identify whether sensory, emotional, or environmental factors may play a role. Record strategies and consistent approaches that are being used or should be used to support regulation and positive behaviour."
"About Me","No needs identified (Emotional Support)","Checkbox","No","",""
"About Me","Emotional Support","Action Table","No","Show if 'No needs identified' unchecked","Consider what emotional safety means for te tamaiti or rangatahi. This may include routines, trusted people, calming strategies, or specific supports that help them feel safe and able to express their emotions. Explore how they show distress or emotional need, and what helps them feel a sense of belonging and connection."
"Identity","Where I'm from","Textarea","No","",""
"Identity","My whakapapa","Textarea","No","",""
"Identity","My religious or spiritual beliefs","Textarea","No","",""
"Identity","What's culturally important to me","Textarea","No","",""
"Identity","My faith or cultural needs","Textarea","No","",""
"Identity","The needs and goals to support me with my Identity, spirituality, cultural needs and safety","Action Table","No","","Place value on narratives as a part of their cultural identity. These stories will help to identify what tamariki or rangatahi and whānau or family experience, value, identify and connect with. Consider the principle of mana and work collaboratively with tamariki or rangatahi and whānau or family to ensure they have what they need to keep safe and keep their culture safe such as their whakapapa and whanaungatanga connections. Also consider any barriers that may exist for connection to their whakapapa and how this can affect their cultural safety."
"Connections","My important friends","Textarea","No","",""
"Connections","My connections including contact and access arrangements","Table (Name / Relationship to Me / Contact Details / Type of Support / Contact Arrangement)","No","",""
"Connections","People who I currently do not have contact with","Textarea","No","",""
"Connections","What do my whānau, hapū, iwi, island or village think about this plan and what is important to them?","Textarea","No","",""
"Connections","What do other important people think about this plan?","Textarea","No","",""
"Connections","Action Plan (Connections)","Action Table","No","",""
"Health","No health needs identified","Checkbox","No","",""
